namaproduk,harga,daerah,kamar,toilet,carport,luastanah,luasbangunan
Dijual murah rumah di sarijadi lokasi strategis dekat exit tol pasteur bandung,Rp 990 Juta,"Sukajadi, Bandung",4,2,1,98 m²,84 m²
Jual Rumah Cluster di Permata Permai Raya Arcamanik Cisaranten Bandung,Rp 680 Juta,"Arcamanik, Bandung",3,2,1,104 m²,80 m²
Rumah 2 Lantai Bagus Ekslusif di Singgasana Pradana,"Rp 4,25 Miliar","Bojongloa Kidul, Bandung",4,3,0,200 m²,300 m²
TURUN HARGA Rumah dan Lahan Usaha di Mainroad Jalan A. H. Nasution,Rp 15 Miliar,"Mandalajati, Bandung",5,8,0,886 m²,700 m²
Cepat Rumah Terawat Kopo Permai 1,"Rp 1,15 Miliar","Taman Kopo Indah, Bandung",4,2,0,135 m²,150 m²
"Rumah Siap Huni, Arcamanik","Rp 1,5 Miliar","Arcamanik, Bandung",3,2,1,144 m²,155 m²
Rumah Bagus Harga Menarik di Perumahan Bumi Adipura,Rp 650 Juta,"Gede Bage, Bandung",2,1,2,90 m²,60 m²
Rumah Eksklusif 2 Lantai di Amagriya Podomoro Park,"Rp 2,5 Miliar","Bojongsoang, Bandung",4,3,2,126 m²,127 m²
"Murah & Langka, Rumah Siap Huni di Mega Raya, Pasteur - Bandung","Rp 3,7 Miliar","Gunung Batu, Bandung",5,3,2,326 m²,250 m²
Dijual rmh di cinunuk cileunyi bdg jawabarat,Rp 800 Juta,"Cileunyi, Bandung",3,2,0,141 m²,195 m²
Rumah 3 Lantai Semi Furnished di Sayap Pajajaran,Rp 1 Miliar,"Pajajaran, Bandung",3,3,0,84 m²,225 m²
Rumah untuk Kantor dan Tempat Usaha di Jalan Sabang Bandung,Rp 18 Miliar,"Bandung Wetan, Bandung",7,5,2,734 m²,350 m²
"Rumah Bagus 2,5 Lantai Siap Huni di Sayap Rajawali","Rp 3,65 Miliar","Andir, Bandung",3,2,2,277 m²,322 m²
Rumah 2 Lantai Full Furnished Terawat di Perumahan Bumi Adipura,"Rp 1,25 Miliar","Gede Bage, Bandung",4,3,1,90 m²,110 m²
"Rumah Bagus 2,5 Lantai Jalan Tanjungsari Antapani Full Furnished","Rp 4,5 Miliar","Antapani, Bandung",4,5,1,216 m²,250 m²
"Rumah milenial di Cluster Amanda Summarecon Bandung, sudah renovasi ruangan diperbesar","Rp 2,2 Miliar","Gede Bage, Bandung",2,2,1,112 m²,148 m²
"Last Unit, HARGA TURUN!!  Podomoro Park Cluster Amagrita Dwi Hook -  Buah Batu","Rp 3,2 Miliar","Buah Batu, Bandung",3,3,1,170 m²,111 m²
"Rumah Bagus di Jalan. Cibiru Hilir, Cibiru Hilir, Kecamatan Cileunyi Kabupaten Bandung, Bandung",Rp 475 Juta,"Cibiru, Bandung",2,1,1,82 m²,50 m²
Gegerkalong Girang No 14b,Rp 7 Miliar,"Geger Kalong, Bandung",30,30,0,217 m²,600 m²
Rumah di Jl. Tenis Arcamanik,Rp 3 Miliar,"Arcamanik, Bandung",4,3,0,220 m²,250 m²
Kos kosan di Jalan Tamblong Asia Afrika Jantung Kota Bandung,"Rp 3,6 Miliar","Bandung Kota, Bandung",24,9,0,120 m²,350 m²
Hunian islami padasuka kabupaten Bandung,Rp 695 Juta,"Padasuka, Bandung",2,2,2,89 m²,50 m²
Rumah di Jl Raya cihanjuang sariwangi 2 lantai SHM,Rp 725 Juta,"Sariwangi, Bandung",2,3,1,70 m²,65 m²
Rumah modern di bandung utara dekat Upi setiabudi,Rp 750 Juta,"Bandung Kota, Bandung",2,2,2,90 m²,70 m²
Rumah baru readystock 2 lantai di cihanjuang cimahi,Rp 650 Juta,"Bandung Kota, Bandung",2,2,1,60 m²,58 m²
"Komp. Itb, Kanayakan, Dago, Itb. Rumah Kost Di Bandung Utara","Rp 2,25 Miliar","Dago, Bandung",15,4,0,213 m²,350 m²
Murah Dijual cepat rumah di jl burangrang pusat kota bandung akses jalan melalui asia afrika lengkong besar naripan veteran lengkong kecil sadakeling braga sudirman laswi galunggung tampomas sunda • hub firalpro : hp/wa ➡️ 081222001575,"Rp 3,15 Miliar","Burangrang, Bandung",8,3,2,300 m²,250 m²
"Jual Rumah Cakep, Minimalis Di Resort Dago Pakar","Rp 2,25 Miliar","Dago, Bandung",3,2,2,176 m²,220 m²
"Jual Rumah Super Lux, Nyaman Dan Asri Resort Dago Pakar Bandung",Rp 21 Miliar,"Dago, Bandung",5,3,10,2259 m²,676 m²
Rumah Cluster Elite di Singgasana Pradana,"Rp 4,5 Miliar","Mekar Wangi, Bandung",4,3,0,160 m²,240 m²
"Rumah minimalis,  cepat puri dago utama Antapani kota bandung","Rp 1,25 Miliar","Antapani, Bandung",3,2,1,137 m²,90 m²
Rumah dan kostan harga NJOP komplek ITB Kanayakan Dago,"Rp 2,25 Miliar","Dago, Bandung",15,5,2,213 m²,359 m²
"Rumah Siap Huni 4 Kamar Tidur Di Tatar Favorit, Kota Baru Parahyangan, Padalarang, Bandung","Rp 3,8 Miliar","Kota Baru Parahyangan, Bandung",4,3,2,162 m²,180 m²
Rumah Buah Batu Square Kuldesak One Gate System,"Rp 1,3 Miliar","Buah Batu, Bandung",2,2,0,81 m²,76 m²
RUMAH SIMAKIRANA KOTA BARU PARAHYANGAN,"Rp 1,6 Miliar","Kota Baru Parahyangan, Bandung",2,1,0,90 m²,50 m²
RUMAH CIPEDES RESIDENCE 1,"Rp 1,5 Miliar","Cipedes, Bandung",3,2,2,98 m²,110 m²
Rumah Bagus Siap Huni Gegerkalong Mewah,"Rp 4,3 Miliar","Geger Kalong, Bandung",4,2,3,520 m²,400 m²
Jual Rumah Dan Ruang Usaha 2 Lantai Asia Afrika Bandung,Rp 16 Miliar,"Asia Afrika, Bandung",5,3,0,558 m²,453 m²
"Rumah Mewah , Fullfurnished, Ada Swimming Pool, Cluster di Ciumbuleuit",Rp 9 Miliar,"Ciumbuleuit, Bandung",3,3,2,351 m²,400 m²
"Rumah 1 Lantai Unfurnished di Puri Dago Mas Antapani, Bandung","Rp 1,25 Miliar","Antapani, Bandung",3,2,1,137 m²,90 m²
"Rumah MURAH Shm Di Situsari TURANGGA SURYALAYA, Buah Batu","Rp 2,05 Miliar","Buah Batu, Bandung",5,3,1,225 m²,162 m²
Rumah murah setraduta cemara dkt pasteur polban,"Rp 1,6 Miliar","Setra Duta, Bandung",4,2,1,105 m²,150 m²
For Sale Rumah Bagus Di Awiligar Kota Bandung,Rp 2 Miliar,"Awiligar, Bandung",4,3,0,108 m²,120 m²
Awas Kebawa Mimpi.. Buruan Beli Rumah Nyaman Ini Di Summarecon Chintya,"Rp 2,7 Miliar","Gede Bage, Bandung",4,3,1,105 m²,100 m²
"Budget Teririt Untuk Rumah di TAMAN HOLIS INDAH,BANDUNG Selalu Jadi Inceran Para Keluarga","Rp 1,1 Miliar","Holis Cigondewah, Bandung",3,2,0,72 m²,120 m²
"Kualitas Hunian di SETRA INDAH,BANDUNG Akan Membuat Keluarga Nyaman dan Menjanjikan Masa Depan",Rp 6 Miliar,"Setra Indah, Bandung",3,2,0,489 m²,350 m²
Murah! Luas244 Belakang JONAS Buah Batu Komp. Batu Indah depan Batununggal,"Rp 2,9 Miliar","Buah Batu, Bandung",4,4,3,244 m²,230 m²
Idaman Family Banget.. Hunian Cantik Free Furnish Di Summarecon Chintya,"Rp 3,2 Miliar","Gede Bage, Bandung",3,3,0,120 m²,120 m²
"Jual Rumah Bagus Harga Mantap , Lokasi Strategis , Survey Yukk","Rp 1,6 Miliar","Taman Kopo Indah, Bandung",3,3,2,150 m²,150 m²
"Rumah Luas Strategis di Mainroad Dago, Bandung Kota",Rp 55 Miliar,"Dago, Bandung",5,3,10,1749 m²,300 m²
Termurah! Luas298 dkt SMUN 8 Turangga Buah Batu,"Rp 2,6 Miliar","Turangga, Bandung",4,3,1,298 m²,400 m²
Rumah Hook Desain Modern di Tatar Punawangi Kota Baru Parahyangan,"Rp 3,86 Miliar","Kota Baru Parahyangan, Bandung",4,3,2,290 m²,147 m²
Jual Rumah Siap Huni di Jl.Elang Bandung,"Rp 1,7 Miliar","Andir, Bandung",3,2,1,126 m²,98 m²
Rumah Nyaman Siap Huni di Kota Baru Parahyangan,"Rp 3,2 Miliar","Kota Baru Parahyangan, Bandung",3,2,0,136 m²,120 m²
Mantul Rumah Terbaik Semi Furnish Ga Diragukan Area Summarecon,"Rp 1,8 Miliar","Gede Bage, Bandung",2,2,1,105 m²,75 m²
"Hot Item Rumah Baru di Tatar Punawangi, Kota Baru Parahyangan",Rp 2 Miliar,"Kota Baru Parahyangan, Bandung",3,2,1,103 m²,172 m²
Rumah Baru Komp. Suryalaya dkt GRIYA Buah Batu,"Rp 1,97 Miliar","Buah Batu, Bandung",3,3,2,100 m²,136 m²
Perjalanan Panjang Akhirnya Nemu Rumah Dijual Area Sumber Sari Bandung Kota,"Rp 2,1 Miliar","Babakanciparay, Bandung",2,2,0,177 m²,121 m²
Rumah Lux Super Nyaman,"Rp 2,4 Miliar","Sukajadi, Bandung",6,5,1,250 m²,200 m²
"Rumah cigadung,murah","Rp 1,55 Miliar","Cigadung, Bandung",3,1,1,143 m²,103 m²
Seru Banget Keluarga Ini Beli Rumah Di Taman Kopo Indah 1 Bandung,Rp 1 Miliar,"Taman Kopo Indah, Bandung",2,3,0,130 m²,160 m²
"INI LHO RUMAH NYAMAN DAN MENJANJIKAN DI PONDOK MAS,BAROS-CIMAHI .. BURUAN NEGO PASTI DEAL","Rp 4,5 Miliar","Cimahi, Bandung",3,2,0,454 m²,183 m²
"Kenapa di KOTA BARU PARAHYANGAN,BANDUNG Ada Rumah Sehat ? Karena Ada Taman Asri Disetiap Huniannya","Rp 3,1 Miliar","Kota Baru Parahyangan, Bandung",3,2,0,220 m²,119 m²
"INVESTASI PROPERTY KAYA RUMAH DI CIATEUL,BANDUNG INI EMANG LAGI BANYAK PEMINAT","Rp 2,25 Miliar","Ciateul, Bandung",4,2,0,168 m²,110 m²
"Mau Rumah Elit Tapi Harga Irit ? Aku Kasih Nihh Spesial Harga Diskon di MEKARWANGI,BANDUNG","Rp 1,65 Miliar","Mekar Wangi, Bandung",4,4,0,75 m²,110 m²
"HALAMAN LUASSS BERTAMAN ASRI COCOK NIH UNTUK KELUARGA DAN SIKECIL BERMAIN RUMAH DI AREA PAJAJARAN,BANDUNG","Rp 8,5 Miliar","Pajajaran, Bandung",2,2,0,820 m²,200 m²
Kalau Liat Rumah MOCH.TOHA-BANDUNG Pasti Kesan Istimewanya Emang Paling Beda Deh ..,"Rp 3,1 Miliar","Moch Toha, Bandung",4,3,0,200 m²,350 m²
"Ada Kolam Ikannya Nihh .. Papa dan Si kecil Pasti Suka kan ? Miliki Rumah di CHERRY FIELD-BUAH BATU,BANDUNG","Rp 1,6 Miliar","Buah Batu, Bandung",3,2,0,151 m²,100 m²
"Ehhh Ada Rumah di KEMBAR-BKR,BANDUNG Kemarin Nyari-nyari kan ? Yuk Buruan Booking","Rp 1,9 Miliar","BKR, Bandung",4,2,0,140 m²,200 m²
"CHERRY FIELD-BUAH BATU,BANDUNG Pasti Desain Rumah Modern dan Kesan Mewah Tapi Harga Super Ekonomis","Rp 1,75 Miliar","Buah Batu, Bandung",4,2,0,162 m²,175 m²
"Kenapa Harus Rumah di SUKAMENAK KOPO,BANDUNG ? Cek Langsung Aja Yuk Biar Yakin Deh","Rp 1,5 Miliar","Kopo, Bandung",8,4,0,112 m²,224 m²
"Bikin Anak Dan Istri Bahagia Yuk ! Miliki Rumah Nyaman di TAMAN KOPO INDAH,BANDUNG","Rp 1,15 Miliar","Taman Kopo Indah, Bandung",2,2,0,102 m²,98 m²
Di PUSAT KOTA BANDUNG Ada Rumah Nyaman Dan Asri Bisa Juga Jadi Investasi Cek Yuk di BKR,"Rp 13,5 Miliar","BKR, Bandung",6,5,0,519 m²,320 m²
Serius Gak Mau ? Rumah PINUS REGENCY Ada di Area Strategis SOEKARNO HATTA- BANDUNG Harganya Pas Dikantong,Rp 2 Miliar,"Soekarno Hatta, Bandung",3,3,0,160 m²,105 m²
"GAK BASA BASI LAGI AYO NEGO LANGSUNG DEAL ! RUMAH DI AREA STARTEGIS BKR,BANDUNG","Rp 2,5 Miliar","BKR, Bandung",4,2,0,200 m²,160 m²
"Sayang Banget kan Kalau Dilewat .. Mending Jadiin Rumah Keluarga Kamu Aja di TAMANKOPO INDAH,BANDUNG",Rp 2 Miliar,"Taman Kopo Indah, Bandung",2,2,0,199 m²,199 m²
"Jadi Dong Punya Rumah Untuk Keluarga di SUKAMENAK KOPO,BANDUNG Masih Bisa Nego Lho","Rp 1,35 Miliar","Kopo, Bandung",3,3,0,91 m²,85 m²
"Tanyain Aja Best Deal Rumah Mewah Dan Super Cantik Di Area Elit MEKARWANGI,BANDUNG Pasti Jadi Milik Kamu","Rp 9,3 Miliar","Mekar Wangi, Bandung",5,3,0,525 m²,675 m²
"Mau Tanya Best Deal Rumah di TURANGGA,BANDUNG ? Sekalian Survey Aja Yuk Ajakin Keluarganya","Rp 3,35 Miliar","Turangga, Bandung",4,2,0,280 m²,200 m²
"Hanya Ratusan Juta Kamu Dapet Fasilitas Terbaik Rumah di KOMP.PERMATA KOPO,BANDUNG Lhoo ..Beruntung Banget kan ?",Rp 995 Juta,"Kopo, Bandung",3,3,0,140 m²,100 m²
Pengen Dimiliki Sama Kamu Nihh .. Rumah di TENGAH KOTA BANDUNG Harga Siap Nego Cek di SAYAP BKR,"Rp 3,3 Miliar","BKR, Bandung",4,5,0,200 m²,220 m²
"Rumah di BATUNUNGGAL,BANDUNG Sengaja Dibangun Untuk Memanjakan Penghuni Dengan Kemudahan Segala Akses","Rp 2,5 Miliar","Batununggal, Bandung",3,1,0,162 m²,125 m²
Dijual Guest House Di Mainroad Setiabudi Bandung Kota,Rp 10 Miliar,"Setiabudi, Bandung",12,13,0,418 m²,550 m²
"Hitung Tanah! Nyaman, TURANGGA Syp Karawitan Buah Batu","Rp 2,1 Miliar","Turangga, Bandung",1,1,1,200 m²,100 m²
Rumah Mewah Dkt Podomoro Buahbatu Bandung Stt Telkom Tol Cigagalo,Rp 702 Juta,"Buah Batu, Bandung",3,2,1,59 m²,50 m²
Mimpi Indah Bisa Beli Rumah Cantik Di Bandung City View Pasir Impun Mandalajati Bandung,"Rp 1,45 Miliar","Mandalajati, Bandung",3,2,0,105 m²,80 m²
Rumaah Pooll Kenyamanan Luar Biasaa Di Area Summarecon,"Rp 2,8 Miliar","Gede Bage, Bandung",4,3,1,105 m²,130 m²
"Hot Item Rumah Baru di Setra Duta Hegarmanah, Bandung","Rp 2,55 Miliar","Setra Duta, Bandung",3,3,1,105 m²,156 m²
Rumah baru selesai bangun siap huni dengan lingkungan Nyaman SHM,"Rp 1,6 Miliar","Taman Kopo Indah, Bandung",2,3,0,150 m²,150 m²
"Rumah Baru Cocok Untuk Milenial, di Tatar Punawangi, Kbp","Rp 3,21 Miliar","Kota Baru Parahyangan, Bandung",4,3,2,220 m²,138 m²
Rumah Baru Lokasi Strategis Grand Sharon Bandung,Rp 4 Miliar,"Rancasari, Bandung",3,2,1,189 m²,185 m²
Murah! Luas400 Syp Kliningan dkt GRIYA Buah Batu,"Rp 3,95 Miliar","Buah Batu, Bandung",6,3,2,400 m²,350 m²
Dibantu Nego Deh Sampai Deal Rumah Nyamannya Di Summarecon Bdg,"Rp 2,1 Miliar","Gede Bage, Bandung",4,2,1,105 m²,104 m²
"Rumah Lux Ada Kolam Renang di Komplek Setra Duta, Bandung",Rp 18 Miliar,"Setra Duta, Bandung",4,5,2,616 m²,409 m²
"RUMAH TAKE OVER DP 175 JT NEGO DI CLUSTER SOREANG DEKAT KE TOL SOROJA, KANTOR PEMDA",Rp 550 Juta,"Soreang, Bandung",2,1,1,72 m²,36 m²
"Jual Rumah Bagus , Nyaman , Dijamin Mantap , Survey Yuk","Rp 1,2 Miliar","Parongpong, Bandung",3,3,1,204 m²,160 m²
Gercepin Nego Demi Bisa Beli Rumah Keren Ini Di Summarecon,"Rp 2,5 Miliar","Gede Bage, Bandung",2,1,1,128 m²,113 m²
Rumah Baru 2 Lantai Millenial Grand Sharon Bandung,"Rp 1,03 Miliar","Rancasari, Bandung",2,1,1,72 m²,42 m²
"Dijual Rumah Semi Furnished Di Kbp, Siap Huni","Rp 2,85 Miliar","Kota Baru Parahyangan, Bandung",3,2,2,162 m²,150 m²
"RUMAH RENOV SIAP HUNI DI CLUSTER SOREANG BANDUNG SELATAN DEKAT KE TOL SOROJA, KANTOR PEMDA DAN TRANSMART",Rp 530 Juta,"Soreang, Bandung",2,1,1,72 m²,42 m²
Solusi Terbaik.. Rumah Semi Furnish Nyamaan Areaa Summarecon,Rp 2 Miliar,"Gede Bage, Bandung",2,2,1,92 m²,105 m²
"Rumah Elite Harga Terjangkau Siap Huni Modern Strategis, Bandung",Rp 223 Juta,"Katapang, Bandung",2,1,1,60 m²,45 m²
For Sale Rumah Cantik Minimalis di Dewi Sartika,"Rp 3,5 Miliar","Regol, Bandung",4,2,0,130 m²,150 m²
"RUMAH TAKE OVER DP 140 JT NEGO DI SOREANG BANDUNG SELATAN AKSES KE TOL SOROJA, KANTOR PEMDA, TRANSMART",Rp 360 Juta,"Soreang, Bandung",2,1,1,72 m²,36 m²
Pecinta Hunian Nyaman Boleh Nih Serbu di Area Summarecon,"Rp 1,3 Miliar","Gede Bage, Bandung",2,2,1,66 m²,60 m²
Rumah dijual di Batununggal abadi SHM Sudah Renovasi,"Rp 4,2 Miliar","Batununggal, Bandung",5,3,2,234 m²,400 m²
Rumah Modern Minimalis Siap Huni Harga Terjangkau Full Spek,Rp 165 Juta,"Katapang, Bandung",2,1,1,50 m²,36 m²
Dijual Rumah Kos Kostan Aktif di Pusat Kota Bandung,"Rp 2,5 Miliar","Bandung Kota, Bandung",11,11,0,188 m²,300 m²
Hunian Bebas Banjiiir Akses Mudah Dijangkau Area Summarecon,"Rp 3,6 Miliar","Gede Bage, Bandung",3,2,2,216 m²,167 m²
For Sale Rumah Modern Minimalis di Taman Kopo Indah 3,"Rp 1,8 Miliar","Taman Kopo Indah, Bandung",3,2,0,104 m²,180 m²
For Sale Rumah Minimalis di Taman Kopo Indah V,"Rp 1,6 Miliar","Taman Kopo Indah, Bandung",2,2,0,114 m²,100 m²
"RUMAH SIAP HUNI 1,5 LT MODEL MEZZANIN DI SOREANG BANDUNG SELATAN AKSES KE TOL SORONG, KANTOR PEMDA, BORMA",Rp 600 Juta,"Soreang, Bandung",2,1,1,72 m²,45 m²
Rumah 1 Lantai Ajb Halaman Luas,Rp 297 Juta,"Kopo, Bandung",2,1,1,71 m²,47 m²
Dijual Rumah Di Cluster Emily Sumarecon Bandung,Rp 7 Miliar,"Gede Bage, Bandung",4,4,2,285 m²,253 m²
Dijual Rumah Eksklusif Siap Huni di Pasteur Bandung,"Rp 6,4 Miliar","Pasteur, Bandung",9,4,2,268 m²,150 m²
Rumah dijual di Taman kopo indah 2 SHM Butuh Renovasi,Rp 865 Juta,"Taman Kopo Indah, Bandung",2,1,1,96 m²,96 m²
"Sriusan Mau Di Skip Hunian Nyamanyaa, Kepoin Dulu di Summarecon Bdg","Rp 1,85 Miliar","Gede Bage, Bandung",2,2,1,92 m²,62 m²
"Jual Rumah Bagus Nyaman , Kawasan Strategis , Pasti Okee",Rp 950 Juta,"Taman Kopo Indah, Bandung",3,1,1,117 m²,90 m²
Dijual Rumah Murah Strategis di Pasteur,"Rp 2,37 Miliar","Pasteur, Bandung",4,3,2,230 m²,350 m²
"Rumah Luas 1 Lantai di Sariwangi, Sayap Setra Duta, Bandung!","Rp 1,7 Miliar","Sariwangi, Bandung",4,2,0,227 m²,120 m²
Rumah 3 lantai sayap astana anyar,"Rp 3,8 Miliar","Astanaanyar, Bandung",3,3,2,106 m²,190 m²
Compact House Rumah Cakeep The Best Location Di Summarecon Bdg,"Rp 4,5 Miliar","Gede Bage, Bandung",4,3,0,234 m²,216 m²
Dijual Rumah Mainroad Setra Duta Dago Bandung Hook,"Rp 11,5 Miliar","Setra Duta, Bandung",4,2,3,675 m²,450 m²
Dijual Rumah Dengan Tanah Luas Siap Huni di Cileunyi Bandung,"Rp 1,4 Miliar","Cileunyi, Bandung",1,1,1,465 m²,65 m²
Natural Banget Bikin Bahagiaa Beli Rumah Keren Ini di Summarecon Bdg,Rp 2 Miliar,"Gede Bage, Bandung",2,2,0,105 m²,92 m²
Rumah dalam cluster di Antapani 2 Lantai SHM Bagus,"Rp 2,1 Miliar","Antapani, Bandung",4,3,2,98 m²,140 m²
Disewa Rumah Nyaman Terawat di Setrasari,Rp 240 Juta,"Setra Sari, Bandung",4,3,1,650 m²,500 m²
"SUPER MURAH RUMAH TAKE OVER DP 68 JT NEGO DI PADALARANG BANDUNG BARAT DEKAT KE TOL PADALARANG, KOTA BARU",Rp 500 Juta,"Padalarang, Bandung",2,1,1,72 m²,45 m²
Rumah Bebas Banjir Harga Terjangkau Elite Modern Nyaman Strategis,Rp 168 Juta,"Katapang, Bandung",2,1,1,50 m²,36 m²
RUMAH LOKASI STRATEGIS DEKAT PUSAT KOTA JL KEMBAR TIMUR BANDUNG,"Rp 2,3 Miliar","Regol, Bandung",4,2,0,200 m²,160 m²
Murah Banget Rumah Di Ciumbuleuit Sangat Terawat,"Rp 5,15 Miliar","Ciumbuleuit, Bandung",4,4,1,391 m²,400 m²
Dijual Rumah Cantik Full Furnish Siap Huni di Kbp,"Rp 2,23 Miliar","Kota Baru Parahyangan, Bandung",3,2,2,108 m²,100 m²
Dijual Rumah Murah Strategis di Pasteur,"Rp 4,7 Miliar","Pasteur, Bandung",13,5,1,300 m²,2700 m²
Rumah di sukajadi SHM Bagus Luas,Rp 13 Miliar,"Sukajadi, Bandung",6,5,2,850 m²,650 m²
Rumah Murah di Tki Jarang Ada,Rp 750 Juta,"Taman Kopo Indah, Bandung",4,1,1,102 m²,90 m²
Cafe Dan Villa Ciwidey Jalan Raya Bandung,"Rp 4,5 Miliar","Ciwidey, Bandung",4,4,0,678 m²,221 m²
Rumah cantik jingganagara siap huni di kota baru Parahyangan,"Rp 2,22 Miliar","Kota Baru Parahyangan, Bandung",3,2,0,108 m²,100 m²
Dijual Rumah Hunian Mewah Daerah Gegerkalong Kab Bandung,"Rp 5,9 Miliar","Geger Kalong, Bandung",8,5,1,620 m²,670 m²
Dijual Rumah Hunian Nyaman Daerah Sukahaji Kota Bandung,Rp 7 Miliar,"Sukahaji, Bandung",4,4,2,550 m²,350 m²
Hunian Nyaman 3Lt View Kota Strategis 15 mnt Exit Tol Padalarang,"Rp 1,79 Miliar","Sayap Dago, Bandung",2,2,2,120 m²,98 m²
Dijual Rumah Besar Dan Tanah Luas Di Setrasari Raya Bandung Utara,"Rp 18,2 Miliar","Sukasari, Bandung",9,9,4,905 m²,679 m²
Dijual Rumah Terawat Aman di Sayap Bkr,"Rp 1,98 Miliar","BKR, Bandung",4,2,1,138 m²,160 m²
Dijual Rumah Hunian Mewah Daerah Dago Kab Bandung,Rp 23 Miliar,"Dago, Bandung",5,4,0,1480 m²,600 m²
Rumah Bagus Baru Renove Siap Pakai Di Holis,"Rp 1,35 Miliar","Holis Cigondewah, Bandung",3,3,1,105 m²,140 m²
Arcamanik Semi Furnished Lebar Muka 12 Meter,"Rp 1,37 Miliar","Arcamanik, Bandung",4,3,0,176 m²,150 m²
"For Sale Rumah Bagus
Siap Huni
Taman Holis Indah 1

Lt 153m 2
Lb 90m 2
Type 57

Kt 2+ 1
Km 2
Hadap selatan
Air pdam

Harga 1.3 M nego","Rp 1,3 Miliar","Holis Cigondewah, Bandung",2,1,1,154 m²,90 m²
"Djual Rumah Bangunan Belanda Masih Asli  Antik Dan Masih Sangat Terawat
Di Dago",Rp 55 Miliar,"Dago, Bandung",5,3,2,1749 m²,300 m²
"For Sale
Rumah Bagus Hoki
Siap Huni
Semi Furnished

Lt 154m2
 Lb 220m2
3 kt + 1
2 km

2 lantai
4400kwh
Air sible
Hadap selatan

Harga 1,8 M nepis","Rp 1,8 Miliar","Holis Cigondewah, Bandung",3,2,1,154 m²,220 m²
Dijual Rumah Bagus Dekat Griya Arcamanik,"Rp 2,2 Miliar","Arcamanik, Bandung",4,3,1,176 m²,250 m²
Dijual Rumah Besar Lingkungan Asri di Kota Baru Parahyangan,Rp 8 Miliar,"Kota Baru Parahyangan, Bandung",4,4,1,392 m²,336 m²
Dijamin Gabisa Move On Check Segera Rumah Di Kota Baru Parahyangan Padalarang Bandung Barat,"Rp 2,45 Miliar","Kota Baru Parahyangan, Bandung",4,2,1,162 m²,160 m²
"Dijual Rumah Vintage 2 Lantai Di Setra Duta

*","Rp 4,5 Miliar","Setra Duta, Bandung",4,3,2,240 m²,200 m²
Dijual Rumah Podomoro Park Komplek Mewah di Bandung Selatan,"Rp 2,45 Miliar","Buah Batu, Bandung",3,3,1,126 m²,127 m²
"Rumah di Komplek Nata Endah, Bandung dekat akses tol kopo",Rp 890 Juta,"Margahayu, Bandung",3,2,2,126 m²,75 m²
Rumah Siap Huni Di Komplek Buana Hiltop Cinangka,Rp 1 Miliar,"Ujungberung, Bandung",4,3,0,162 m²,120 m²
Dijual rumah terawat di Taman kopo indah 3,"Rp 1,8 Miliar","Taman Kopo Indah, Bandung",3,2,0,104 m²,180 m²
Rumah Villa Kompleks Eksklusif Lembang,"Rp 3,1 Miliar","Lembang, Bandung",2,2,2,480 m²,250 m²
Rumah murah di kota bandung,Rp 500 Juta,"Arcamanik, Bandung",3,2,1,63 m²,60 m²
Dijual Cepat Rumah Bagus di Podomoro Park Bandung,"Rp 5,6 Miliar","Buah Batu, Bandung",4,3,1,198 m²,202 m²
Kesamber Petir Nih Hatiku.. Rumah Keren Di Mayangsunda Kota Baru Parahyangan Padalarang Bandung Barat,"Rp 2,5 Miliar","Kota Baru Parahyangan, Bandung",3,1,0,162 m²,97 m²
Jual Rumah Bagus dan Siap Huni di Margahatu Baru Bandung,"Rp 1,4 Miliar","Buah Batu, Bandung",6,4,1,277 m²,200 m²
Rumah Murah Dekat Gerbang Tol Buah Batu Bandung,Rp 275 Juta,"Bojongsoang, Bandung",2,1,1,30 m²,50 m²
Dijual Rumah Bagus Klaster Premium di Podomoro Park Bandung,Rp 5 Miliar,"Buah Batu, Bandung",4,3,2,218 m²,168 m²
Dijual Cepat Rumah Terawat di Batununggal,"Rp 2,75 Miliar","Batununggal, Bandung",2,1,1,180 m²,200 m²
Dijual rumah terawat bagus di Taman kopo indah 5,"Rp 1,6 Miliar","Taman Kopo Indah, Bandung",2,2,0,114 m²,100 m²
"Perumahan Pasir Jati, Cijambe",Rp 750 Juta,"Cilengkrang, Bandung",2,1,0,102 m²,70 m²
Rumah Kantor Perumahan Culdesac Gerlong Setiabudi,"Rp 3,2 Miliar","Setiabudi, Bandung",4,4,2,200 m²,350 m²
"Rumah Bagus Jl. Cibodas Raya Antapani. Unfurnished, Shm, Bandung",Rp 800 Juta,"Antapani, Bandung",2,1,1,70 m²,50 m²
Rumah Baru Dalam Komplek Soekarno Hatta,"Rp 1,85 Miliar","Soekarno Hatta, Bandung",3,2,1,96 m²,185 m²
Rumah Dijual Di Ciwastra Bandung Dalam Komplek Terawat Siap Huni,"Rp 1,15 Miliar","Ciwastra, Bandung",2,2,2,97 m²,155 m²
Jarang Ada Rumah 1 Lantai di Guruminda Kota Baru Parahyangan,"Rp 8,9 Miliar","Kota Baru Parahyangan, Bandung",5,3,0,622 m²,350 m²
Rumah dan kosan di sayap dago Cisitu 2 Lantai SHM Bagus,Rp 40 Miliar,"Sayap Dago, Bandung",14,9,0,1750 m²,1000 m²
Rumah di Tubagus ismail 2 Lantai SHM Bagus,Rp 10 Miliar,"Tubagus Ismail, Bandung",4,3,0,530 m²,500 m²
